time,beta,alpha,theta,delta,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0.000000,2759700.750367,2639639.669858,6807849.038737,120068786.901613,4069.886963,3529.676758,5397.893066,4488.593750,6113.458496,5852.807129,3887.483643,5440.775879,6542.787109,6057.780273,5509.712891,6417.423340,5997.393555,5392.316895,5881.773438,5874.702148
0.500000,552.087433,17653.157895,1261817.916061,102735946.775194,1981.431763,1730.347534,2642.409912,2146.614746,2990.465088,2859.605469,1899.363281,2661.918945,3198.892578,2963.129883,2693.456787,3134.463867,2923.129150,2634.328125,2874.781250,2870.020996
1.000000,816.106541,381.141676,14028.016706,7147817.655644,951.208069,828.292542,1269.043823,1097.258179,1438.504761,1374.087158,912.367981,1280.963745,1540.811279,1427.524536,1295.738525,1508.269165,1404.376465,1267.210083,1384.479614,1385.020264
1.500000,1917.568741,677.366998,332.125996,10367033.784884,405.401917,354.810150,543.187378,508.595398,615.163391,588.723816,390.179962,548.240967,659.329529,611.430237,556.387390,646.097351,602.192871,542.896790,594.032471,594.241760
2.000000,2503.872125,1569.252402,3175.455760,35058941.922481,157.450119,136.879181,206.429626,451.122772,230.185242,223.739090,148.581772,207.964142,249.811661,230.892288,208.488007,241.808426,227.752777,205.037354,223.229187,221.402222
2.500000,1002.711048,538.716759,1931.122335,51396415.596899,75.209335,64.614349,88.008659,296.404266,89.570282,96.498070,67.649628,88.351341,102.110046,94.578552,85.040932,94.034500,95.689026,86.227623,91.553841,88.165154
3.000000,1657.169916,891.130768,3310.227740,53299749.085271,39.374508,29.582247,36.541698,223.415604,31.361685,44.748909,31.139797,37.054161,41.057697,37.486984,33.204391,34.519733,42.028564,35.751453,36.591022,33.569817
3.500000,955.668727,818.655541,1718.057031,43392314.015504,12.482707,12.604488,14.398172,297.148193,11.756141,16.695044,12.954934,15.605297,16.769299,15.357159,13.834933,14.245131,16.644732,15.463907,15.617555,14.080884
4.000000,1496.482078,1078.684507,1146.311109,28566526.775194,7.228041,9.617235,9.481790,300.968933,7.403625,9.424073,7.245436,9.390546,9.029606,9.260993,8.069074,7.838965,8.971315,8.253643,8.110386,6.642117
4.500000,2358.938409,1314.057448,669.425691,14725699.604651,5.841747,7.114990,7.691854,146.092209,4.871600,5.898821,5.639330,6.544826,6.547185,6.241427,5.632669,5.364340,5.440880,5.656856,5.634265,4.730721
5.000000,843.185626,225.944534,669.807519,4941693.100775,10.516766,5.704666,6.860483,192.425003,10.471552,7.657727,4.947673,5.497448,6.138962,7.930075,8.003641,8.588360,6.420610,4.960414,7.172382,7.369849
5.500000,1505.972069,455.247691,469.494452,549218.420936,9.286807,9.176822,9.681887,228.096878,10.933628,8.409203,6.828650,8.031023,7.915802,8.886847,8.548994,8.225060,6.843945,6.955688,7.508780,6.427263
6.000000,949.700836,948.551661,1171.570150,912276.201096,7.204745,10.947139,11.854573,303.919159,16.012495,8.096635,8.163243,9.176933,9.527094,10.322656,11.287112,11.927254,8.102887,8.283049,8.952645,9.269523
6.500000,1914.934646,1252.539026,1761.850598,4517453.751938,6.028235,5.518226,6.078335,190.629288,8.221321,6.766847,5.982139,5.735814,5.362150,5.551526,5.736231,6.172028,6.647252,6.644647,6.256854,5.663725
7.000000,1289.629288,141.713194,138.813969,9456514.341085,7.126149,7.678846,7.589219,239.850479,5.081416,8.409876,6.935554,7.121214,7.683943,7.104649,6.661741,5.585145,7.530809,7.344964,8.216390,7.800883
7.500000,531.924315,136.987568,91.738005,14120690.697674,10.303859,9.982318,9.418414,226.531998,7.209621,11.400956,11.118071,11.175630,10.051624,9.168965,7.607045,6.541119,12.283875,11.707846,9.336830,7.544057
8.000000,380.612043,212.355363,61.988190,17331003.372093,9.847219,10.643802,10.966159,118.259094,5.968400,10.383513,10.758533,10.752754,10.545886,9.712195,8.285975,6.155590,12.247387,12.071093,10.262973,8.083373
8.500000,2416.109123,690.072649,463.389238,18415617.550388,7.880039,8.287900,8.342143,124.417999,6.533040,8.332820,7.723454,7.887722,7.423666,7.481559,6.793983,5.993369,8.343521,6.998856,6.538821,4.867876
9.000000,895.842731,731.666976,841.953049,17654631.550388,6.809368,8.395641,8.686306,103.900940,7.126183,6.855851,7.363986,8.002941,8.524133,7.886569,6.699106,6.994574,6.341601,7.244197,6.982030,6.301435
9.500000,1345.870045,326.597446,285.170004,15619160.736434,8.430124,8.252084,8.022338,170.309204,5.920782,9.345864,8.368610,8.120447,7.604743,7.382088,6.728228,6.511525,9.863306,8.675721,7.775475,6.407946
10.000000,1946.691183,1412.912313,1352.104825,12170352.798450,8.745917,9.200468,9.137655,214.704681,7.113015,10.324153,9.721343,9.659533,9.570075,8.784141,8.221606,7.221307,10.810091,10.091309,9.221393,6.930470
10.500000,690.331218,105.993943,236.737908,8524646.709302,12.502816,9.101414,8.565697,125.559616,4.423265,11.102249,8.748324,8.637181,7.913326,7.118926,6.551101,4.954445,9.960430,7.871156,6.999045,6.238279
11.000000,749.274607,203.089301,192.222106,5058080.168605,7.651895,6.992147,7.245004,144.621399,6.338395,7.765619,7.219505,7.106075,6.911061,7.240973,7.046234,6.257817,9.040521,8.085251,8.556485,7.487910
11.500000,504.486310,114.636931,123.334385,2386198.263566,10.318133,9.261560,9.536214,218.231308,6.537505,9.639707,8.767367,8.731350,9.204088,8.009234,7.564154,5.887111,7.732022,8.114258,8.319430,7.903418
12.000000,2889.847974,2024.741932,1400.972294,735884.150921,8.171988,8.526160,8.446775,153.419998,5.588176,8.403853,8.727129,8.704487,9.075570,8.200041,7.065422,6.014376,8.429350,9.915658,9.388049,7.431721
12.500000,516.421576,105.425163,205.077255,69553.937807,7.551971,7.361548,7.112419,126.226181,7.092357,7.141254,6.570996,6.671200,6.816580,6.698835,6.139638,6.317815,8.938157,7.479535,7.182411,6.200206
13.000000,501.885962,224.749182,209.240102,206132.018683,13.215818,11.839432,10.550195,142.710083,6.928255,11.489566,9.739807,9.327623,8.792633,7.750740,6.580052,5.838241,10.136061,8.379849,7.427547,6.816378
13.500000,730.818667,75.025291,145.439713,923724.300145,10.992465,8.026193,8.634430,165.988846,6.421050,8.823596,8.222681,8.229345,7.660724,7.572513,7.133971,5.583176,7.727392,7.878112,7.018265,5.199038
14.000000,382.119420,106.138343,124.862270,1962490.567829,8.172056,7.651311,7.253500,84.503738,5.821643,6.976437,6.697630,6.423946,6.051597,5.164747,4.873116,4.366069,5.809535,5.885913,4.546210,3.055597
14.500000,435.662035,123.237757,80.920643,3058811.546512,7.790733,6.740976,5.855066,131.665482,4.364397,7.555472,7.066467,6.180827,5.150792,4.547310,4.362249,4.378417,6.581203,5.387034,4.587064,4.005764
15.000000,753.012005,144.552345,92.172771,3949742.484496,20.523161,13.272157,11.498970,124.934151,9.399975,19.512371,17.354393,14.338198,12.863076,10.668516,8.907372,6.740429,19.675243,18.394262,12.882525,8.204884
15.500000,399.950650,559.458946,689.571788,4526366.147287,26.083643,19.953951,17.034561,185.843765,11.229543,24.261539,21.081863,18.186701,16.391228,15.817190,14.704368,11.388248,21.154724,20.366882,16.656698,12.447952
16.000000,2539.167986,349.769320,373.470485,4721768.790698,17.607010,15.101768,13.796949,155.388824,10.192369,17.560722,14.504369,13.889296,12.843330,12.795651,11.356318,10.949777,14.670107,14.041449,12.216257,10.024284
16.500000,368.801343,109.203610,253.372200,4517421.755814,10.867194,9.207584,8.795140,136.633255,7.395375,12.005733,9.630060,9.311439,8.466672,8.517947,7.703402,8.878621,11.683818,9.326901,9.236475,7.912318
17.000000,639.375593,112.368837,67.858531,4106078.715116,24.652294,13.216063,11.056827,126.041451,8.584225,22.348787,16.621967,12.774701,12.352574,9.817733,7.811376,7.871319,22.786957,13.785340,12.007170,9.231604
17.500000,1297.891134,140.315975,95.252898,3404482.102713,28.575991,18.004198,15.629333,204.374420,11.167202,23.058170,20.243782,18.288319,15.598189,13.590369,11.010154,11.272123,25.953960,17.184147,13.702692,9.729836
18.000000,925.311485,241.586576,55.708313,2616541.364341,40.152126,27.249874,24.331903,147.788071,13.145629,32.148689,28.787815,26.189474,22.171755,19.602448,16.825914,13.624584,25.612434,24.178854,19.004709,12.715750
18.500000,2440.138473,670.774896,198.016456,1892893.721899,32.608387,22.443371,21.466618,113.920547,12.325749,27.298643,24.203384,22.698795,21.759775,19.106461,16.579031,13.000702,24.121140,22.050360,18.434708,13.034144
19.000000,704.069098,120.464051,179.907474,1169208.417151,18.112267,11.137989,10.681229,116.600594,8.833199,15.579103,11.002951,9.670100,9.548759,9.323123,8.589863,9.370945,13.572221,8.991588,8.293907,7.206047
19.500000,808.910897,117.678553,160.914772,638924.801599,10.971182,10.354132,9.840621,190.160400,8.667432,12.976142,9.014137,9.026596,8.058939,8.964176,9.040154,10.209722,10.253159,8.676101,7.815839,6.998389
20.000000,473.559109,210.187657,74.454629,249723.111313,9.814323,9.261107,9.539537,144.030258,7.659476,11.411061,9.196544,9.231330,9.687551,9.285619,9.017292,8.726337,10.768976,9.741784,9.727355,8.981694
20.500000,935.231998,106.089670,113.741189,51182.149531,8.924366,5.459836,4.851844,148.855515,8.162500,11.136280,8.167980,6.264854,5.396716,5.853080,6.235120,9.190588,11.810589,9.363553,7.570582,6.837956
21.000000,1293.290190,98.714100,61.544683,8318.523494,9.785301,7.596680,7.135852,172.480789,6.747797,11.604979,8.431338,7.452518,7.222408,6.965923,6.121805,7.247752,9.475535,8.886527,8.273965,5.808346
21.500000,435.705045,54.817191,150.398385,76778.640701,9.478489,8.368670,7.478799,161.972321,5.279519,10.684899,9.130686,9.163165,7.737030,7.445560,6.481253,5.882397,10.174407,9.137747,8.850224,6.827662
22.000000,1008.242407,432.296921,801.568822,225849.907582,8.100304,8.068607,7.796956,143.105804,6.417765,9.376784,8.712658,8.686505,7.633718,7.218204,5.784947,6.145988,9.631176,9.794702,8.705659,5.983078
22.500000,253.711042,115.165083,43.805013,405712.157219,8.331780,6.309154,6.174548,97.271194,6.343533,8.430746,6.455374,6.282513,6.514266,5.746213,5.290525,6.904334,6.783834,7.561602,8.297071,7.542978
23.000000,282.409114,28.421231,72.903176,564653.243217,14.044259,9.629064,8.914957,94.207848,8.778232,13.382292,10.329922,8.726892,7.659554,7.116902,6.779047,7.894498,10.271811,7.976903,7.040795,6.740312
23.500000,632.226579,251.449474,286.006549,700977.000969,12.443076,8.953340,8.424456,149.625092,8.817597,12.441253,9.678471,8.961720,8.013863,7.274951,6.054224,7.409705,11.521411,8.871573,7.196712,5.634552
24.000000,904.583241,113.813314,151.508060,778219.333818,15.504486,12.418362,11.679658,210.827652,7.744712,14.389020,11.757292,11.102383,10.584724,10.285648,8.895095,8.518737,11.826391,10.416616,9.380154,7.326141
24.500000,386.793052,60.611202,151.101819,729512.369671,7.313565,6.843979,7.631701,127.522713,11.732009,9.284987,6.232323,6.436036,7.464090,7.698248,7.596521,8.476952,6.543362,6.132583,6.492072,6.139137
25.000000,863.867463,194.034610,354.297330,698472.630329,14.031396,16.016432,16.343931,176.955063,17.604765,11.808129,11.838937,12.892888,13.112010,13.120667,12.603431,12.358419,10.723620,11.751184,11.372235,9.382174
25.500000,771.205559,516.322462,708.536147,657816.375484,16.474140,21.035934,20.320316,112.939316,18.709270,15.152835,16.072586,17.737373,16.054621,14.153658,14.525230,14.206656,13.878476,15.625421,10.920463,9.041162
26.000000,1315.094786,57.572250,104.554280,568743.754603,9.021931,9.633610,10.155012,193.472000,11.188122,9.031934,7.737176,9.468320,8.294700,8.764488,9.609958,10.270371,8.060555,7.862082,8.171369,7.801364
26.500000,726.000763,82.689533,61.750500,443469.923450,10.368989,9.258940,8.820440,101.935951,6.579714,11.710797,10.110538,9.335170,8.608593,7.888162,7.442349,7.121837,10.467898,9.493808,7.427212,5.671132
